country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,,,87.4,86.3,94,106,118,112,138,154,149,147,155,178,202,216,239,265,300,321,322,364,
Angola,62.4,151,125,136,167,137,143,179,219,248,178,177,177,209,198,190,191,201,182,173,200,199,
Albania,223,247,258,290,316,334,368,431,453,513,600,632,650,666,726,753,811,838,897,982,1040,1130,
Andorra,1910,2020,2160,2090,2110,2340,2300,2490,2890,3070,3880,3910,3450,3450,3530,3710,3580,3710,4040,4100,4630,4910,
UAE,2220,2300,2480,2560,2560,2430,2410,2350,2370,2730,2540,2590,2500,2660,2790,2420,2680,2850,3000,3280,4160,4070,
Argentina,1060,1040,826,846,879,1030,1140,1290,1420,1540,1690,1810,1920,1960,1900,2050,2000,2410,2400,2350,2190,2320,
Armenia,108,135,257,284,274,313,367,406,538,595,677,739,847,1010,1030,1030,1090,1300,1360,1700,1730,1920,
Antigua and Barbuda,803,890,877,990,975,1030,1100,1170,1110,961,1140,1140,1110,1070,1160,1040,1060,1010,1100,1050,1140,1230,
Australia,2150,2270,2430,2560,2750,2840,3020,3200,3310,3570,3610,3790,3810,4180,4680,4810,5060,5130,5330,5390,5960,6490,
Austria,2710,2760,2940,3080,3290,3380,3600,3770,4030,4190,4300,4470,4750,4950,5080,5210,5480,5640,5910,6280,6530,7270,
Azerbaijan,98,102,111,123,133,146,185,226,259,379,381,377,494,543,612,634,622,563,546,617,831,733,
Burundi,22.5,30.8,29.9,28.8,40.2,42.9,51.9,56,48.4,57.1,71.1,65.1,56.3,60.1,52.6,50.1,54.1,52.2,55.3,68.8,80.4,70.5,
Belgium,2230,2350,2520,2840,3000,3070,3230,3370,3650,3910,4090,4260,4450,4630,4780,5000,5250,5460,5720,6040,6120,6520,
Benin,51,59.6,57.5,59.3,64,64.8,68.7,64.9,60.9,66.3,69.3,70.4,74.7,74.3,73.9,76.2,81.1,78.3,89.8,82.5,83,97.2,
Burkina Faso,26.5,27.5,29,32.7,45.7,46.5,56.4,67.8,63,69.4,76.2,71.4,72.2,90.6,81.9,85.1,109,120,105,117,144,153,
Bangladesh,28.4,29.4,33.2,35.4,38.3,42.7,47.5,53.3,55.6,60.1,66.5,73.8,82.2,85.7,91.1,95.8,109,114,122,129,134,154,
Bulgaria,373,469,549,604,632,706,742,786,898,933,1060,1120,1230,1190,1350,1360,1490,1600,1680,1780,2140,2390,
Bahrain,1310,1430,1510,1670,1540,1460,1420,1560,1540,2020,1960,1930,2210,2310,2300,2280,2200,2210,2070,2050,2370,2340,
Bahamas,966,1030,1030,1080,1110,1160,1300,1390,1480,1490,1540,1580,1630,1700,1760,1660,1840,2300,2130,2130,2150,2370,
Bosnia and Herzegovina,329,325,345,407,490,526,611,712,815,784,819,895,958,1020,1060,1090,1180,1200,1300,1440,1540,1690,
Belarus,308,359,380,428,490,589,617,706,740,738,847,787,925,1050,998,1070,1030,1030,1050,1150,1270,1390,
Belize,225,275,293,314,316,325,351,413,448,436,433,436,398,413,451,434,437,410,428,453,431,479,
Bolivia,148,166,172,188,185,204,199,212,221,254,264,277,305,362,408,458,502,535,572,612,650,722,
Brazil,750,787,827,794,846,880,958,1030,1060,1110,1130,1170,1160,1240,1320,1310,1300,1370,1420,1470,1530,1630,
Barbados,694,716,775,918,1040,1030,1090,1050,1140,1200,1120,1160,1220,1160,1090,1090,1120,1080,1060,1030,1080,1230,
Brunei,1870,1920,1980,2090,2080,1850,1680,1730,1640,2040,1790,1530,1600,1560,1530,1470,1410,1370,1470,1400,1560,1460,
Bhutan,117,137,137,135,161,154,179,195,176,195,213,220,261,278,284,333,347,351,364,429,494,442,
Botswana,558,592,654,661,645,594,595,718,791,752,777,778,783,852,843,819,881,972,925,965,875,1100,
Central African Republic,26.4,26,29.4,30.3,31.2,33,35.4,39,34.1,41.9,32.2,34.8,40.1,32.6,30.6,36.9,42.9,56,98.7,71.5,82.4,85.7,
Canada,2420,2610,2750,2920,3080,3290,3570,3740,3880,4150,4290,4330,4450,4610,4700,4790,5130,5270,5460,5500,6180,6550,6440
Switzerland,3360,3590,3840,3940,4120,4190,4450,4820,5170,5400,5440,5810,6060,6440,6650,7070,7440,7560,7640,8070,8340,9000,
Chile,663,701,738,785,811,840,952,1050,1120,1170,1230,1380,1520,1680,1790,1900,2010,2230,2360,2400,2430,2650,2760
China,131,136,154,174,189,211,230,250,293,358,385,440,506,558,593,634,664,712,790,886,963,1030,
Cote d'Ivoire,176,173,169,156,158,148,145,141,149,150,156,144,157,143,159,147,156,157,158,176,200,188,
Cameroon,85.7,84.1,90,91.3,93.3,96.9,99.9,103,104,99.7,103,114,119,116,128,124,128,125,138,143,146,156,
"Congo, Dem. Rep.",6.34,11,11,16.6,20.5,21.1,23,24.1,29.3,26.7,23.8,21.2,21.5,26.1,32.8,34.8,40.7,42.5,35.1,38.1,44.6,45.6,
"Congo, Rep.",57.2,82,67.2,75.8,77.4,74,78.9,81.2,100,103,95.4,91.2,116,113,112,109,102,103,73.6,99.1,157,125,
Colombia,377,407,403,423,453,505,573,636,697,750,758,785,808,889,953,997,1050,1100,1160,1230,1320,1540,
Comoros,132,122,127,129,129,127,122,118,115,113,118,131,137,143,151,133,142,171,164,177,198,223,
Cape Verde,128,141,148,147,162,174,200,210,193,206,241,243,283,290,291,275,291,333,347,356,408,506,
Costa Rica,527,539,591,628,631,670,760,841,945,979,1050,1120,1140,1170,1250,1320,1380,1420,1540,1630,1700,1710,
Cuba,549,641,713,759,750,1070,1290,1840,1970,2180,2030,2160,1880,2220,2700,3180,2490,2470,2480,2550,2590,3030,
Cyprus,1140,1230,1330,1380,1410,1520,1660,1780,2120,2220,2210,2180,2090,2100,2080,2170,2400,2560,2800,3130,3500,4210,
Czech Republic,924,1030,1130,1270,1330,1400,1480,1580,1780,2020,2120,2190,2230,2320,2480,2500,2690,2870,3080,3370,3950,4250,
Germany,2690,2820,2970,3110,3180,3280,3470,3650,3870,4130,4320,4590,4710,4960,5200,5360,5700,6030,6350,6730,7170,7610,8170
Djibouti,79.1,75.1,89.7,105,90.5,102,120,122,115,116,110,119,119,109,116,139,117,110,110,108,108,150,
Dominica,353,316,312,351,363,395,409,447,514,505,532,561,594,560,588,584,623,629,750,668,649,753,
Denmark,2330,2490,2670,2750,2970,3110,3430,3650,3940,4310,4570,4630,4720,4840,4950,5100,5350,5610,5820,6090,6430,7040,7160
Dominican Republic,321,331,354,309,314,355,362,411,476,498,557,592,595,607,639,688,728,743,739,803,874,1010,
Algeria,297,339,349,363,378,371,398,474,534,684,672,713,801,791,855,841,770,759,767,711,706,672,
Ecuador,195,230,285,357,398,427,461,452,485,512,566,649,707,767,800,842,821,880,930,922,913,971,
Egypt,289,329,342,334,325,348,370,366,394,399,394,421,495,522,518,581,568,588,551,564,524,615,
Eritrea,69.7,77.3,88.4,92.4,88.3,89.2,89.5,70.6,68.6,63.4,62.6,84.2,62.5,74.5,79.9,70.8,62.5,61.6,72.8,84.2,75.7,79.7,
Spain,1470,1560,1670,1910,2020,2150,2430,2600,2810,2930,2890,2930,2900,2930,3050,3190,3340,3540,3670,3960,4080,4370,
Estonia,486,492,547,673,774,878,959,1150,1360,1400,1420,1490,1580,1720,1840,1940,2100,2230,2440,2660,2990,3260,3310
Ethiopia,20.8,24.2,24.2,24.4,24.3,25.9,31.3,39,36.7,42.4,55.2,49.8,54.1,51.4,60,62.4,66.6,68.7,69.9,73.5,82.7,81.7,
Finland,1900,2020,2180,2310,2520,2660,2850,3060,3340,3480,3560,3770,3920,4070,4080,4100,4210,4340,4490,4750,5040,5610,
Fiji,211,185,198,201,236,243,260,268,253,278,278,267,297,313,362,391,394,409,560,587,552,612,
France,2520,2690,2880,2860,2970,3140,3390,3540,3710,3940,4050,4210,4280,4530,4640,4680,4930,5070,5230,5620,5860,6330,
"Micronesia, Fed. Sts.",163,185,177,222,279,435,273,285,310,332,361,378,353,340,327,365,391,379,370,366,348,353,
Gabon,387,428,446,481,456,408,423,457,385,520,349,380,354,410,373,375,427,403,401,418,501,411,
UK,1900,2050,2230,2450,2670,2750,3010,3080,3330,3540,3650,3710,3830,3960,4090,4190,4320,4440,4610,4920,5580,6160,6270
Georgia,219,241,287,338,372,423,454,515,615,680,677,659,775,821,902,886,1020,948,1030,1030,1230,1410,1460
Ghana,69.5,81.8,77,78.4,80.6,113,121,127,138,160,164,209,199,235,216,228,163,184,200,239,223,248,
Guinea,53.1,57.1,66.7,60.8,62.5,61.2,53.1,54.6,53.3,56.8,56.3,65.4,60.1,61.8,85,104,110,93.3,94.6,108,106,109,
Gambia,202,180,191,172,108,105,105,98.4,97.1,96.8,92.9,89.6,86.8,76.7,57.2,60.8,61.3,64.6,68.9,68.6,80.3,72.8,
Guinea-Bissau,46.2,50.9,46.6,43.2,50.8,56.6,63.9,66.1,74.5,64,75.8,91.4,83,98.9,144,139,149,143,143,146,182,174,
Equatorial Guinea,83.4,149,394,385,369,313,332,378,371,572,461,422,492,494,512,488,508,539,519,536,622,547,
Greece,1420,1680,1860,2020,2060,2190,2360,2470,2730,2860,2680,2360,2210,2190,2090,2190,2320,2320,2400,2550,2700,2860,
Grenada,391,410,471,448,461,513,501,556,584,550,548,599,603,619,575,606,613,692,723,791,772,843,
Guatemala,272,313,319,333,348,354,389,402,408,412,406,408,430,419,445,479,485,495,514,542,556,665,
Guyana,158,159,173,180,194,213,240,283,292,315,332,380,395,426,439,458,461,527,621,655,1070,1130,
Honduras,160,155,168,192,203,238,267,293,324,325,325,340,343,345,346,354,389,382,412,427,479,561,
Croatia,811,836,784,862,955,1060,1220,1450,1600,1630,1600,1610,1640,1420,1480,1550,1690,1800,1940,2140,2290,2700,
Haiti,88.3,83.1,76.7,81.9,79.2,79.8,86.7,96.1,102,99.6,122,168,156,123,136,149,150,122,141,126,101,110,
Hungary,803,901,1030,1260,1260,1370,1430,1370,1470,1500,1620,1720,1720,1770,1810,1830,1950,1990,2100,2180,2490,2710,
Indonesia,94.4,113,110,132,133,170,189,220,213,223,235,270,281,287,303,299,317,318,335,356,416,483,
India,86,95,98,100,108,113,118,126,130,138,141,145,161,188,188,195,202,179,188,204,216,236,
Ireland,1800,2100,2370,2560,2830,3130,3380,3700,4060,4380,4560,4790,4930,4930,4890,5090,5380,5580,5540,6060,6710,7200,7880
Iran,488,545,542,641,674,736,771,808,850,1050,1140,1160,1030,884,998,1040,1170,1190,1170,921,822,951,
Iraq,,,,183,359,282,252,343,354,437,392,360,385,408,372,309,412,413,422,457,533,513,
Iceland,2650,2790,3060,3180,3320,3340,3390,3460,3650,3670,3320,3360,3430,3630,3780,3970,4330,4590,4790,5110,5220,5700,5820
Israel,1750,1870,1860,1750,1830,1830,1820,1950,1980,2010,2100,2220,2350,2520,2560,2640,2840,2970,3060,3090,3260,3670,
Italy,2050,2170,2260,2290,2420,2520,2740,2790,3040,3100,3140,3210,3210,3220,3210,3270,3480,3610,3730,3960,4140,4370,4680
Jamaica,364,343,325,304,359,352,344,451,479,421,430,440,412,431,456,512,544,614,621,651,643,758,
Jordan,579,626,643,630,678,724,686,737,803,903,810,826,806,740,682,689,632,685,685,696,683,739,
Japan,1920,2020,2110,2200,2330,2460,2580,2720,2850,3000,3200,3790,4010,4200,4240,4390,4330,4430,4550,4670,4630,4680,
Kazakhstan,314,303,351,401,479,526,518,455,534,617,516,531,657,641,723,695,802,747,727,756,992,1110,
Kenya,75.1,80.6,82,87.4,94.3,99.3,120,130,130,131,142,143,144,155,168,179,191,172,187,209,212,237,
Kyrgyz Republic,82,84,91,125,144,177,207,191,197,213,213,233,307,331,316,303,303,316,268,251,269,302,
Cambodia,70.4,82,89.9,93.8,107,118,119,106,152,174,167,196,208,217,214,211,227,225,262,319,321,360,
Kiribati,129,182,181,166,191,188,190,194,234,223,151,144,152,174,183,161,205,225,270,257,342,346,
St. Kitts and Nevis,733,710,736,766,772,916,1020,1010,1270,1230,1220,1250,1160,1230,1260,1360,1520,1550,1500,1690,1590,1790,
South Korea,718,853,865,953,1020,1150,1310,1450,1590,1690,1880,1960,2050,2120,2270,2500,2710,2880,3220,3550,3730,4370,4950
Kuwait,1310,1880,1880,1930,1820,1710,1620,1760,1740,2170,2010,1840,1900,1880,2010,1950,2070,2330,2600,2640,2940,2910,
Lao,79.5,86.9,83.2,107,92,93.9,92.4,107,99,133,116,81.8,99.5,126,134,150,161,182,174,213,165,234,
